Team,League,Division,Lat,Long
Milwaukee Brewers,MLB,NL Central,43.028333,-87.971111
Los Angeles Angles,MLB,AL West,33.800278,-117.882778
St. Louis Cardinals,MLB,NL Central,38.6225,-90.193056
Arizona Diamondbacks,MLB,NL West,33.445278,-112.066944
New York Mets,MLB,NL East,40.756944,-73.845833
Philadelphia Phillies,MLB,NL East,39.905833,-75.166389
Detroit Tigers,MLB,AL Central,42.339167,-83.048611
Colorado Rockies,MLB,NL West,39.756111,-104.994167
Los Angeles Dodgers,MLB,NL West,34.073611,-118.24
Boston Red Sox,MLB,AL East,42.34625,-71.09775
Texas Rangers,MLB,AL West,32.747361,-97.084167
Cincinnati Reds,MLB,NL Central,39.0975,-84.506667
Chicago White Sox,MLB,AL Central,41.83,-87.633889
Kansas City Royals,MLB,AL Central,39.051,-94.48
Miami Marlins,MLB,NL East,25.778056,-80.219722
Houston Astros,MLB,AL West,29.756944,-95.355556
Washington Nationals,MLB,NL East,38.872778,-77.0075
Oakland Athletics,MLB,AL West,37.751667,-122.200556
San Francisco Giants,MLB,NL West,37.778611,-122.389167
Baltimore Orioles,MLB,AL East,39.283889,-76.621667
San Diego Padres,MLB,NL West,32.7073,-117.1566
Pittsburgh Pirates,MLB,NL Central,40.446944,-80.005833
Cleveland Guadians,MLB,AL Central,41.495833,-81.685278
Toronto Blue Jays,MLB,AL East,43.641389,-79.389167
Seattle Mariners,MLB,AL West,47.591,-122.333
Minnesota Twins,MLB,AL Central,44.981667,-93.278333
Tampa Bay Rays,MLB,AL East,27.768333,-82.653333
Atlanta Braves,MLB,NL East,33.89,-84.468
Chicago Cubs,MLB,NL Central,41.948056,-87.655556
New York Yankees,MLB,AL East,40.829167,-73.926389
